yt_url	no	artist	album	title
https://www.youtube.com/watch?v=MEAFO5gAAAY	55	くもんのうた200えほん	001-090 きほんのうた	あかとんぼ
https://www.youtube.com/watch?v=Is8YGAQQsmI	56	くもんのうた200えほん	001-090 きほんのうた	たきび
https://www.youtube.com/watch?v=VmLq9qgneeU	57	くもんのうた200えほん	001-090 きほんのうた	とおりゃんせ
https://www.youtube.com/watch?v=VxvfxKmJANw	58	くもんのうた200えほん	001-090 きほんのうた	かごめかごめ
https://www.youtube.com/watch?v=FwXaWYGVOuc	59	くもんのうた200えほん	001-090 きほんのうた	アイアイ
https://www.youtube.com/watch?v=dVdoj7mbt4E	60	くもんのうた200えほん	001-090 きほんのうた	おべんとうばこのうた
https://www.youtube.com/watch?v=r90eqlsXHqI	61	くもんのうた200えほん	001-090 きほんのうた	うさぎとかめ
https://www.youtube.com/watch?v=d3T7CPN49gI	62	くもんのうた200えほん	001-090 きほんのうた	ももたろう
https://www.youtube.com/watch?v=H8TWQEJQDt8	63	くもんのうた200えほん	001-090 きほんのうた	うらしまたろう
https://www.youtube.com/watch?v=ocqgd6wn8RE	64	くもんのうた200えほん	001-090 きほんのうた	わらいかわせみにはなすなよ
https://www.youtube.com/watch?v=qrZxKTpn8-c	65	くもんのうた200えほん	001-090 きほんのうた	やぎさんゆうびん
https://www.youtube.com/watch?v=-yhYnI9_Yto	66	くもんのうた200えほん	001-090 きほんのうた	もりのくまさん
https://www.youtube.com/watch?v=bMhqoCTAank	67	くもんのうた200えほん	001-090 きほんのうた	あめふりくまのこ
https://www.youtube.com/watch?v=CngNuBbpB8c	68	くもんのうた200えほん	001-090 きほんのうた	とんでったバナナ
https://www.youtube.com/watch?v=eNkYrEZ5E_s	69	くもんのうた200えほん	001-090 きほんのうた	そうだったらいいのにな
https://www.youtube.com/watch?v=JgwEZ08kaEU	70	くもんのうた200えほん	001-090 きほんのうた	おおきなふるどけい
https://www.youtube.com/watch?v=NondbaYFOqU	71	くもんのうた200えほん	001-090 きほんのうた	おもちゃのチャチャチャ
https://www.youtube.com/watch?v=k6i11lhjND8	72	くもんのうた200えほん	001-090 きほんのうた	きしゃポッポ
https://www.youtube.com/watch?v=mmYxTm4mzyw	73	くもんのうた200えほん	001-090 きほんのうた	うたのまち
https://www.youtube.com/watch?v=nYcQpYQdEak	74	くもんのうた200えほん	001-090 きほんのうた	かもめのすいへいさん
https://www.youtube.com/watch?v=RbyJ6DrgN54	75	くもんのうた200えほん	001-090 きほんのうた	ドレミのうた
https://www.youtube.com/watch?v=rGFqqNjM-0E	76	くもんのうた200えほん	001-090 きほんのうた	じゅうにんのインディアン
https://www.youtube.com/watch?v=Hg4m1HVJ66c	77	くもんのうた200えほん	001-090 きほんのうた	しあわせならてをたたこう
https://www.youtube.com/watch?v=8QUKGVqq_2g	78	くもんのうた200えほん	001-090 きほんのうた	ふしぎなポケット
https://www.youtube.com/watch?v=5sYgRqXa-uk	79	くもんのうた200えほん	001-090 きほんのうた	おなかのへるうた
https://www.youtube.com/watch?v=UwpqEmBvPe0	80	くもんのうた200えほん	001-090 きほんのうた	バナナのおやこ
https://www.youtube.com/watch?v=ryH4A917N7M	81	くもんのうた200えほん	001-090 きほんのうた	おんまはみんな
https://www.youtube.com/watch?v=nXhCs6me5pM	82	くもんのうた200えほん	001-090 きほんのうた	もりのこびと
https://www.youtube.com/watch?v=2abddrJ0LwE	83	くもんのうた200えほん	001-090 きほんのうた	うれしいひなまつり
https://www.youtube.com/watch?v=raUmPAn-Pjg	84	くもんのうた200えほん	001-090 きほんのうた	ぼうがいっぽん
https://www.youtube.com/watch?v=XkqIs91vJFQ	85	くもんのうた200えほん	001-090 きほんのうた	いっぽんでもにんじん
https://www.youtube.com/watch?v=_3-r6eH8VHw	86	くもんのうた200えほん	001-090 きほんのうた	ロンドンばし
https://www.youtube.com/watch?v=HSet8WrS2Mw	87	くもんのうた200えほん	001-090 きほんのうた	まっかなあき
https://www.youtube.com/watch?v=E1vzouR1Zds	88	くもんのうた200えほん	001-090 きほんのうた	ピクニック
https://www.youtube.com/watch?v=YJSrGa6wnx4	89	くもんのうた200えほん	001-090 きほんのうた	クラリネットをこわしちゃった
https://www.youtube.com/watch?v=KBxI33XT8TQ	90	くもんのうた200えほん	001-090 きほんのうた	ジングルベル
